"year","n_logbook_rows","n_vessels","n_vessel_days","n_sets"
1981,14456,174,6715,8206
1982,24128,231,9922,12299
1983,24637,271,9478,11902
1984,34466,372,13113,16530
1985,41582,400,15831,19580
1986,39729,402,14900,18438
1987,34960,316,12091,15318
1988,29521,236,10051,12450
1989,24641,210,8726,10414
1990,23547,195,7467,8918
1991,21501,165,7489,9062
1992,17250,122,5931,7424
1993,16728,120,6037,6849
1994,7542,78,2525,2951
1995,6497,74,2695,2867
1996,6552,62,2751,2849
1997,9084,68,3391,3531
1998,8330,59,2889,3077
1999,10319,63,4054,4325
2000,9944,66,3852,4148
2001,8693,65,3309,3485
2002,9009,56,3419,3627
2003,7528,51,2782,3279
2004,7010,47,2630,2957
2005,5362,44,1933,2180
2006,4939,49,1673,1779
2007,5134,44,1803,1967
2008,4248,45,1947,2162
2009,4473,62,1942,2169
2010,4002,37,1555,1787
2011,3849,40,1622,1863
2012,3179,40,1396,1667
2013,2512,32,973,1180
2014,2455,25,831,1006
2015,3622,26,1027,1437
2016,3369,26,1118,1469
2017,3767,27,1038,1334
2018,5015,28,1442,1898
2019,5421,28,1613,1909
2020,4116,29,1301,1517
2021,4130,25,1322,1447
