"year","n_vessels","n_vessel_days"
1981,174,6715
1982,231,9922
1983,271,9478
1984,372,13113
1985,400,15831
1986,402,14900
1987,316,12091
1988,236,10051
1989,210,8726
1990,195,7467
1991,165,7489
1992,122,5931
1993,120,6037
1994,78,2525
1995,74,2695
1996,62,2751
1997,68,3391
1998,59,2889
1999,63,4054
2000,66,3852
2001,65,3309
2002,56,3419
2003,51,2782
2004,47,2630
2005,44,1933
2006,49,1673
2007,44,1803
2008,45,1947
2009,56,1942
2010,39,1555
2011,46,1622
2012,41,1396
2013,32,973
2014,25,831
2015,26,1027
2016,26,1118
2017,27,1038
2018,28,1442
2019,28,1613
2020,29,1301
2021,25,1322
