"variable","value","prob","species"
"Island area?","No",0.181290313850256,"California sea lion"
"Island area?","Yes",0.200409508262763,"California sea lion"
"Island area?","No",0.0917675330754759,"Harbor seal"
"Island area?","Yes",0.0993087628757796,"Harbor seal"
"Island area?","No",0.0101571956670458,"Harbor porpoise"
"Island area?","Yes",0.0097689493273535,"Harbor porpoise"
"Island area?","No",0.0400955083473319,"Common murre"
"Island area?","Yes",0.0400955083473319,"Common murre"
"Island area?","No",0.0419951632193251,"Northern elephant seal"
"Island area?","Yes",0.0335755190693086,"Northern elephant seal"
