"species","variable","importance","package","metric"
"Common murre","lat_dd",268.745776852849,"ranger","impurity"
"Common murre","long_dd",93.7076514847246,"ranger","impurity"
"Common murre","yday",82.3371519195024,"ranger","impurity"
"Common murre","sst_c",54.4350876704629,"ranger","impurity"
"Common murre","shore_km",38.3854803675552,"ranger","impurity"
"Common murre","soak_hr",20.5552118594552,"ranger","impurity"
"Common murre","depth_fa",17.2445368915772,"ranger","impurity"
"Common murre","mesh_size_in",6.69340543925439,"ranger","impurity"
"Common murre","island_yn_X1",0,"ranger","impurity"
"Common murre","yday",66.7182343681504,"ranger","permutation"
"Common murre","lat_dd",53.7223157679094,"ranger","permutation"
"Common murre","sst_c",27.8917794740156,"ranger","permutation"
"Common murre","shore_km",23.8988770669172,"ranger","permutation"
"Common murre","long_dd",19.5627144031312,"ranger","permutation"
"Common murre","depth_fa",16.7436107449279,"ranger","permutation"
"Common murre","soak_hr",14.3375945678909,"ranger","permutation"
"Common murre","mesh_size_in",5.22101716292185,"ranger","permutation"
"Common murre","island_yn_X1",0,"ranger","permutation"
"Common murre","lat_dd",214.5068941,"randomforest","impurity"
"Common murre","long_dd",156.0764304,"randomforest","impurity"
"Common murre","depth_fa",27.0903504,"randomforest","impurity"
"Common murre","soak_hr",26.71929977,"randomforest","impurity"
"Common murre","mesh_size_in",8.6665537,"randomforest","impurity"
"Common murre","shore_km",49.96642616,"randomforest","impurity"
"Common murre","yday",87.20009909,"randomforest","impurity"
"Common murre","sst_c",72.79134199,"randomforest","impurity"
"Common murre","island_yn_X1",0,"randomforest","impurity"
"Common murre","lat_dd",39.31581025,"randomforest","permutation"
"Common murre","long_dd",26.25171191,"randomforest","permutation"
"Common murre","depth_fa",19.84383794,"randomforest","permutation"
"Common murre","soak_hr",12.68427277,"randomforest","permutation"
"Common murre","mesh_size_in",6.851381985,"randomforest","permutation"
"Common murre","shore_km",23.76902485,"randomforest","permutation"
"Common murre","yday",52.54817348,"randomforest","permutation"
"Common murre","sst_c",24.49695025,"randomforest","permutation"
"Common murre","island_yn_X1",0,"randomforest","permutation"
